concepto_cleared,categoria,metodo_algoritmo,explicacion
acta interventoria correspondiente periodo denoviembre contrato invitacion directa objeto realizar interventoriaintegral constituye limita alseguimiento tecnico economico contable administrativo financiero juridico ambiental ysocial ejecucion todas actividadesinherentes elaboracion estudios diseños ypresupuesto asi ejecucion obra deinfraestructura educativa departameto decundinamarca recursos fondo definanciamiento infraestructura educativa ffie beneficiando institucion educativa sanjuan bautista salle municipio zipaquiray acuerdo clausula cuarta forma pago pagovariable avance obra cincuenta porciento valor contrato interventoria deacuerdo avance parcial obra acta parcial intervent,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicio de interventoría integral y seguimiento técnico a proyectos de infraestructura educativa con pago basado en avance de obra.
und tarjeta alianzafiduciaria operaciones,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio administrativo o financiero no especificado que requiere revisión para una categorización precisa.
acta parcial contrato obra cun,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Pago por ejecución de actividades derivadas de un contrato de obra civil.
contrato prestacion servicios,Servicios Generales,gemini-3.1-flash-lite-preview,"Concepto genérico sin detalle suficiente para asignar a una categoría específica, requiere revisión manual."
bugalagrande,DESCONOCIDO,gemini-3.1-flash-lite-preview,"El concepto corresponde únicamente a un nombre de municipio, sin información sobre el bien o servicio transado."
administracion emisiones,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio administrativo ambiguo sin información detallada que permita una clasificación específica.
costo directos,Contratos de construcción y urbanización,KEYWORD,
acta parcial obra realizada periodo mes mes obras construccion institucion educativa lote san diego sede policarpa contrato concepto obra avance valor costo total obra construccion edificaciones obras mitigacion estudios diseños iva concepto estudios diseños tecnicos valor costo total obra estudios diseños valor total estudios diseños tramites obra previstos mayores cantidades gastos reembolsables valor facturar valor amortizacion correspondiente,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Ejecución de obras de construcción y adecuación de infraestructura educativa.
concepto estudios diseños tecnicos valor costo total obra estudios diseños,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Consultoría especializada para la realización de estudios y diseños técnicos de proyectos de ingeniería.
implementacion complementacion estudios diseños,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Servicios de asesoría estratégica, diseño y planeación técnica prestados por personas jurídicas para proyectos corporativos."
lomo carpaccio,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumos alimenticios físicos (producto cárnico) para uso o consumo empresarial.
ossobuco,Compras Generales,gemini-3.1-flash-lite-preview,Compra de producto cárnico clasificado como insumo o bien tangible de consumo general.
coca cola zero,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes de consumo masivo (bebidas) para uso corporativo o inventario.
honorarios oficial cumplimiento sagrilaft ptee mes mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por servicios profesionales independientes de asesoría técnica en cumplimiento normativo sin subordinación laboral.
tornillo especial,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de materiales de ferretería y elementos de sujeción para uso general.
tornillo descanso falcon,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de materiales, insumos o repuestos corporales de ferretería."
soporte lateral,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de un bien tangible, accesorio o repuesto metálico para uso general."
canon arrendamiento mensual equipos,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Pago por el alquiler o uso temporal de equipos de trabajo (bienes muebles).
impresion copia adicional,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio operativo de reprografía que no cuenta con una categoría específica en la tabla.
disco corte metal pulir abracol,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumos industriales o consumibles para herramientas de mantenimiento.
angulo,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de perfil metálico, clasificado como material de construcción o insumo de uso general."
masilla supermastick cunete,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de materiales de construcción e insumos para acabados físicos.
tubo conduit,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumos físicos (tubería eléctrica) para instalaciones técnicas corporativas.
residuos ordinarios contaminados,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de recolección y disposición de residuos, clasificado como servicio operativo general."
residuos ordinarios conta minados vidrio,Servicios Generales,gemini-3.1-flash-lite-preview,"Es un servicio de recolección y disposición de residuos que no encaja en las categorías específicas definidas, por lo que se clasifica como servicio general."
luminarias,Compras Generales,gemini-3.1-flash-lite-preview,"La compra de elementos físicos como luminarias se considera la adquisición de bienes tangibles e insumos de uso general, clasificándose como compra."
embalaje mano obra residuos,Servicios Generales,gemini-3.1-flash-lite-preview,"Es una labor operativa asociada al manejo de residuos, no constituye un servicio profesional ni una categoría especializada definida en el listado."
transporte furgon,"Transporte de Carga (Terrestre, Aéreo o Marítimo)",gemini-3.1-flash-lite-preview,"El servicio de transporte en furgón implica la movilización de carga por vía terrestre, cumpliendo con la definición establecida para esta categoría."
modulo comidas,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,"Se refiere a servicios de alimentación o catering empresarial, los cuales están expresamente contemplados dentro de esta categoría de servicios de alimentación."
admin fee,Servicios Generales,gemini-3.1-flash-lite-preview,"Los cargos administrativos son tarifas por servicios diversos que no especifican una naturaleza profesional o especializada clara, por lo que se asignan a servicios generales."
almacenamiento,Servicios Generales,gemini-3.1-flash-lite-preview,"El servicio de almacenamiento de bienes no cuenta con una categoría específica en el listado, por lo cual se clasifica provisionalmente como servicio general."
transporte normal,"Transporte de Carga (Terrestre, Aéreo o Marítimo)",gemini-3.1-flash-lite-preview,"Se asume el transporte de bienes o mercancías, categorizándose como transporte de carga terrestre al ser la modalidad habitual y no especificar pasajeros."
prestacion servicios ofesionales ffie realizacion super vision contratos bri ndar apoyo supervisi contratos int erventoria hagan veces durant periodo novie,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"La supervisión e interventoría de contratos, dada la naturaleza del ente (FFIE), encaja como interventoría al ser actividades de seguimiento técnico especializado en proyectos."
estiba nal cms,Compras Generales,gemini-3.1-flash-lite-preview,"Las estibas son insumos de madera o plástico utilizados para carga y almacenamiento, considerados bienes tangibles de uso general que se clasifican como compras."
ajuste diferencia incremento tarifa servicio vigilancia correspondiente periodo mes segun circular externa agos,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,"El concepto especifica un ajuste en la tarifa de un servicio de vigilancia, por lo cual debe clasificarse directamente en esta categoría."
fot imp carta bond sencilla,Servicios Generales,gemini-3.1-flash-lite-preview,"El servicio de fotocopiado e impresión es una actividad operativa de soporte que no posee categoría exclusiva, clasificándose como servicio general."
ecocopia color carta bond sencilla,Servicios Generales,gemini-3.1-flash-lite-preview,El servicio de impresión o copiado a color se clasifica como servicio general al no encajar en otras categorías específicas de consultoría o bienes.
encuad carta doble caratulas,Servicios Generales,gemini-3.1-flash-lite-preview,Los servicios de encuadernación son trabajos operativos de papelería que se incluyen dentro de la categoría de servicios generales.
caratula poly transparente carta,Compras Generales,gemini-3.1-flash-lite-preview,Las carátulas de polipropileno son elementos de papelería; son bienes tangibles de uso general que se consideran compras.
plotter bond alta blancura,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumo físico de papelería para impresión que no constituye un servicio ni activo fijo.
domicilio moto pedidos web,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de transporte de bienes a domicilio solicitado vía web, sin información suficiente para clasificar como transporte de carga especializado."
solidos contaminados,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio relacionado con el manejo o disposición final de residuos contaminados, no clasificado en otra categoría específica."
filtros usados,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de gestión, recolección o disposición de filtros usados, considerado mantenimiento o manejo de residuos sin categoría específica."
aceite usado,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de disposición o tratamiento de aceite usado, encajado en servicios generales al no existir categoría de gestión de residuos."
transporte transporte furgon,"Transporte de Carga (Terrestre, Aéreo o Marítimo)",gemini-3.1-flash-lite-preview,Servicio de traslado de mercancías o bienes físicos mediante vehículo de carga tipo furgón.
impresion estandar rigidos epson colores,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de impresión sobre materiales rígidos, clasificado como servicio operativo general."
plotter bond alta blancura color medio,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumos de papelería física (papel bond) para plotter.
prestacion servicios profesionales ffie realizacion supervision contratos brindar apoyo supervision contratos interventoria hagan veces periodo novie,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicios de supervisión e interventoría técnica para contratos de infraestructura.
honorarios mensuales,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por prestación de servicios profesionales independientes.
cobro correspondiente periodo mes prestacion servicios profesionales acuerdo contrato,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Pago derivado de un contrato de prestación de servicios profesionales, clasificado como honorarios."
corte refrentado nucleos concreto,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Actividad técnica especializada propia de la ejecución de obras civiles y construcción.
deteccion refuerzo equipo ferroscan puntos dia,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio técnico de detección de refuerzos estructurales, clasificado como servicio operativo especializado."
disponibilidad personal equipo ejecucion ensayos campo perimetro urbano diurno,Servicios Generales,gemini-3.1-flash-lite-preview,Prestación de servicios técnicos y operativos de ensayos en campo.
inv investigaciones suelos rocas propositos ingenieria,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicios técnicos de consultoría especializada en geotecnia e ingeniería.
inv determinacion laboratorio contenido agua humedad muestras suelo roca mezclas suelo agregado,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio técnico de laboratorio para análisis de muestras. Al no constituir una interventoría de ingeniería civil, se clasifica como servicio general operativo."
canon mes pos comision canon ene,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,Corresponde al pago de canon por concepto de arrendamiento de un inmueble durante el mes de enero.
canon mes pos comision iva ene,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,Impuesto sobre las ventas (IVA) asociado a la operación de arrendamiento de un bien inmueble.
canon mes pos comision admon ene,Cuota de admon,gemini-3.1-flash-lite-preview,Pago correspondiente a la cuota de administración o expensas comunes del inmueble arrendado.
ajuste canon mes comision canon ene,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,Ajuste contable aplicado sobre el valor del canon de arrendamiento causado en el periodo de enero.
ajuste canon mes comision iva ene,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,Ajuste sobre el IVA generado en la operación de arrendamiento durante el mes de enero.
comision canon mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Remuneración por gestión o intermediación comercial en el proceso de arrendamiento.
comision admon mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por comisión administrativa relacionada con la gestión de cobro o administración.
comision iva mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Impuesto sobre las ventas (IVA) generado por los servicios de comisión prestados.
alquiler planta electrica kva,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,"Contrato de alquiler de maquinaria o equipos, clasificados como bienes muebles, para uso temporal."
meses,DESCONOCIDO,gemini-3.1-flash-lite-preview,"El concepto es ambiguo, se refiere únicamente a una unidad de tiempo sin especificar el bien o servicio adquirido."
comprende dic,DESCONOCIDO,gemini-3.1-flash-lite-preview,"La descripción es insuficiente para determinar la naturaleza de la transacción, ya que solo hace referencia a un periodo de tiempo."
transporte ida regreso planta electrica,"Transporte de Carga (Terrestre, Aéreo o Marítimo)",gemini-3.1-flash-lite-preview,Servicio de traslado y movilización de un bien (planta eléctrica) entre dos ubicaciones.
realizar interventoria integral incluye perono limita seguimiento tecnico economico contable administrativo financiero juridico ambiental social ejecucion todas actividades inherentes elaboracion estudios diseños presupuesto instituciones educativas departamento desantander requeridas fondo financiamiento infraestructura educativa politecnico sede departamento santander municipio bucaramanga colegio tecnico vicente azuero departamento santander municipio floridablanca luis carlos galan sarmiento sur departamento santander municipio piedecuesta acta parcial periodo correspondiente octube mes contrato interventoria,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Contrato de interventoría integral técnica y administrativa para la supervisión de obras de infraestructura educativa.
valor costo,DESCONOCIDO,gemini-3.1-flash-lite-preview,El concepto no contiene información descriptiva sobre la naturaleza del gasto o la adquisición realizada.
bisagra soldar,Compras Generales,gemini-3.1-flash-lite-preview,Bien tangible de ferretería considerado material e insumo para labores de construcción o mantenimiento.
sikaflex universal,Compras Generales,gemini-3.1-flash-lite-preview,Insumo material de construcción (sellador) utilizado en diversas aplicaciones industriales o de mantenimiento.
thinner galon,Compras Generales,gemini-3.1-flash-lite-preview,Sustancia química tangible utilizada como insumo de limpieza o diluyente industrial.
perfil mts cal,Compras Generales,gemini-3.1-flash-lite-preview,Elemento metálico tangible utilizado como material de construcción o insumo de uso general.
esmalte blanco cunete,Compras Generales,gemini-3.1-flash-lite-preview,"Insumo físico de pintura utilizado para acabados, clasificado como bien tangible de uso general."
soldadura electrica,Compras Generales,gemini-3.1-flash-lite-preview,"Material consumible utilizado en procesos industriales o de reparación, sin carácter de servicio."
anticorrosivo gln,Compras Generales,gemini-3.1-flash-lite-preview,Insumo químico tangible aplicado para el mantenimiento de estructuras y superficies.
cemento corona,Compras Generales,gemini-3.1-flash-lite-preview,Material de construcción sólido y tangible susceptible de ser inventariado y transportado.
ladrillo adoquin terracota,Compras Generales,gemini-3.1-flash-lite-preview,"Bien tangible utilizado en la construcción, catalogado como material de uso general."
firewall comcel,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de seguridad tecnológica y gestión de redes que no encaja en categorías específicas de consultoría.
mpls intranet local,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de conectividad de datos y telecomunicaciones, clasificado como servicio general de TI."
cena navideña sencia,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,"Servicio de alimentación tipo banquete o evento, clasificado dentro de los servicios de restaurantes."
alfajores mini,Compras Generales,gemini-3.1-flash-lite-preview,"Producto alimenticio tangible adquirido como bien final, no prestado como servicio de restaurante."
domicilio sencia,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,"Servicio logístico asociado a la entrega de alimentos, derivado de la actividad de restaurantes."
combo coffe boxes,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Servicio de alimentación/catering prestado por establecimientos de comidas preparadas.
buñuelos,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de alimentos o productos comestibles que constituyen bienes corporales muebles de uso general.
madera,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumos o materiales de construcción que son bienes corporales muebles.
drywall,Compras Generales,gemini-3.1-flash-lite-preview,"Material de construcción de tipo placa de yeso, clasificado como bien corporal mueble."
superboard,Compras Generales,gemini-3.1-flash-lite-preview,"Insumo de construcción tipo placa, clasificado como bien corporal mueble de uso general."
recup costos gastos serv publicos,Servicios Generales,gemini-3.1-flash-lite-preview,"Concepto administrativo asociado a costos de servicios públicos, clasificado de forma provisional."
revisoria fiscal periodo mes mes contrato,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Servicio profesional prestado para el ejercicio de la revisoría fiscal, sin subordinación laboral."
porteria principal,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Servicio de seguridad o vigilancia prestado en las instalaciones de la entidad.
servicio clou,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Servicio tecnológico en la nube (cloud) asociado al uso de plataformas digitales.
servicio soporte mantenimiento,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio operativo sin especificación técnica suficiente para una categoría especializada.
arrendamiento gravado,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,Pago por el uso de bienes inmuebles sujeto a tributación por arrendamiento.
tarifa aseo,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Pago asociado a la prestación de servicios de limpieza o aseo de instalaciones.
administracion financiera comercial juridica fideicomiso oficinas kdos,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicios de administración y consultoría prestados por persona jurídica para la gestión de proyectos.
hpe greenlake software iva,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Adquisición de soluciones tecnológicas y licenciamiento de software empresarial.
bolsa transp cal,"Transporte de Carga (Terrestre, Aéreo o Marítimo)",gemini-3.1-flash-lite-preview,Servicio de transporte o logística de movilización de bienes o carga.
cuota administracion tierra ene ofic,Cuota de admon,gemini-3.1-flash-lite-preview,Pago por expensas comunes y administración de bienes sometidos a propiedad horizontal.
cuota administracion modulo contribucion tierra ene ofic,Cuota de admon,gemini-3.1-flash-lite-preview,Pago por concepto de cuotas de administración en propiedades sujetas a régimen de propiedad horizontal o áreas comunes.
cuota administracion parqueadero tierra ene ofic,Cuota de admon,gemini-3.1-flash-lite-preview,Pago por concepto de cuotas de administración asociadas al uso de parqueaderos en propiedad horizontal.
management fee december,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,El 'management fee' corresponde a servicios de administración delegada o consultoría prestados generalmente por personas jurídicas.
honorarios mes mes correspondiente cuota graz rio segun porcentaje ayc,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por servicios profesionales o de gestión técnica retribuidos bajo la modalidad de honorarios.
honorarios mes mes correspondiente cuota linz graz rio segun porcentaje ayc,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por servicios profesionales o de gestión técnica retribuidos bajo la modalidad de honorarios.
mantenimiento preventivo equipos aire acondicionado york btu incluye materiales,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de mantenimiento técnico que no constituye una consultoría ni servicio profesional específico; se clasifica como general.
refrigerante,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumo físico tangible utilizado para el mantenimiento de maquinaria.
aceite poe,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumo físico tangible (lubricante) para equipos.
koraza,Compras Generales,gemini-3.1-flash-lite-preview,Compra de material de construcción o insumo tangible.
koraza cunete,Compras Generales,gemini-3.1-flash-lite-preview,Compra de material de construcción o insumo tangible.
disp agua elect,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de bien tangible, en este caso un dispensador de agua."
soporte tecnico a?o,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico de soporte que no se cataloga como consultoría o mantenimiento especializado.
duplicado llave punto,Compras Generales,gemini-3.1-flash-lite-preview,Compra de un bien físico o suministro tangible (duplicado de llave).
memoria ram ddr mhz desktop xue,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de bien tangible, clasificado como insumo tecnológico o repuesto de equipo."
memoria ram ddr kingston portatil,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de bien tangible, clasificado como insumo tecnológico o repuesto de equipo."
productos varios cualquier marca,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles sin especificación de naturaleza, tratados como suministros generales."
disco solido nvme pcie kingston,Compras Generales,gemini-3.1-flash-lite-preview,Bien tangible inventariable (componente de hardware) destinado al funcionamiento de equipos.
inv resistencia compresion cilindros concreto,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicio técnico para verificar calidad de materiales en proyectos de ingeniería o infraestructura.
inv obtencion ensayo nucleos concreto endurecido,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Ensayo de laboratorio técnico en el marco de control de calidad para obras civiles.
renta nube software mejoramiso saas,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Pago por derecho de acceso y uso de herramientas digitales bajo modelo SaaS.
reembolso gasto financiero admon mes,Reembolso,gemini-3.1-flash-lite-preview,Devolución de gastos administrativos financieros incurridos por un tercero a nombre de la empresa.
administracion mes hub,Servicios Generales,gemini-3.1-flash-lite-preview,Descripción ambigua que requiere aclaración para definir si es administración de propiedad o gestión delegada.
reembolso gasto financiero giro mes,Reembolso,gemini-3.1-flash-lite-preview,Devolución de gastos operativos o financieros incurridos por un tercero.
servicios informaticos,Servicios Generales,gemini-3.1-flash-lite-preview,"Concepto genérico de servicios IT que no especifica si es soporte, desarrollo o consultoría."
venta,DESCONOCIDO,gemini-3.1-flash-lite-preview,Concepto totalmente ambiguo; no define si se refiere a bienes o servicios comercializados.
servicio vigilancia horas mes mes incluye seguro vida arma,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Servicio especializado de seguridad privada para protección de instalaciones y activos.
prueba poligrafia presencial,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Servicio profesional independiente prestado por expertos para fines de evaluación de personal.
visita domiciliaria presencial,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Servicio de verificación profesional utilizado comúnmente en procesos de selección o seguridad.
honorarios estructuracion negocios ret,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Servicio intelectual de asesoría profesional para la estructuración de proyectos sin relación laboral.
disco embrague,Compras Generales,gemini-3.1-flash-lite-preview,Repuesto automotriz tangible clasificado como bien material para mantenimiento de vehículos.
juego apagadores rueda tras,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de repuestos o partes tangibles para vehículos.
thinkbook gen arp,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de equipo de cómputo portátil.
thinkpad gen mersey arl,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de equipo de cómputo portátil.
thinkpad gen,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de equipo de cómputo portátil.
alquiler equipo tecnologico macbook air pulgadas,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Alquiler de activos tecnológicos corporativos.
mxqt magic keyboard for ipad air inch spanish spain blac,Compras Generales,gemini-3.1-flash-lite-preview,Compra de accesorios para equipos tecnológicos.
myee iphone negro,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de dispositivo de comunicación móvil.
xlm thinkbook gen abp upgrade memoria ram,Compras Generales,gemini-3.1-flash-lite-preview,Compra de partes o componentes de hardware.
clm thinkbook gen arp,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de equipo de cómputo portátil.
muwc inch ipad air space gre,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de dispositivo electrónico tipo tablet.
ylm thinkpad gen oak upgrade,Compras Generales,gemini-3.1-flash-lite-preview,Compra de partes o mejoras para equipo de cómputo.
thinkpad carbon gen,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de equipo de cómputo portátil.
mantenimiento alarmas seguridad,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico de mantenimiento no clasificado en otra categoría.
ajuste cuota admon factura consumo sspp mes mes mes comision admon nov,Cuota de admon,gemini-3.1-flash-lite-preview,Pago por expensas comunes o administración de propiedad horizontal.
contrato obra acta final mes,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Liquidación o pago final de contrato por obras civiles o construcción.
valor costo directo estudio diseños,Contratos de construcción y urbanización,KEYWORD,
inmunizada chasis,Compras Generales,gemini-3.1-flash-lite-preview,"Se trata de la adquisición de un componente físico o material para vehículo, clasificado como insumo o repuesto tangible no especializado."
interruptor triple galica,Compras Generales,gemini-3.1-flash-lite-preview,"Corresponde a la compra de material eléctrico (interruptor), el cual se clasifica como bien corporal inventariable de uso general."
breaker legrand amp,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de elementos eléctricos y de protección para instalaciones, clasificado como suministro tangible de uso general."
ucaas webex calling telefonia gestionada cloud rpv mpls nacional,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Servicio de telecomunicaciones basado en la nube (UCaaS) que implica el acceso y uso de plataformas tecnológicas y software para la gestión de llamadas.
cargos exentos iva,DESCONOCIDO,gemini-3.1-flash-lite-preview,"El concepto describe una característica tributaria del cargo y no el bien o servicio adquirido, por lo que no es posible clasificarlo."
base impuesto consumo voz,DESCONOCIDO,gemini-3.1-flash-lite-preview,El concepto corresponde a la descripción de una base impositiva y no a la naturaleza del bien o servicio prestado.
atencion medica domiciliaria,Servicios de Salud,gemini-3.1-flash-lite-preview,"Servicio de asistencia médica y salud prestado fuera del entorno clínico, enfocado en el bienestar del paciente o trabajador."
premium servicio !hotel holiday inn bogota airport avenida calle,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,"Servicio de alojamiento prestado por una cadena hotelera, claramente asociado a la prestación de servicios de hospitalidad."
premium servicio !cartagena san martin,Servicios Generales,gemini-3.1-flash-lite-preview,"El concepto es insuficiente para identificar un servicio específico distinto, por lo que se categoriza bajo servicios generales."
premium servicio !cali colombia oeste,Servicios Generales,gemini-3.1-flash-lite-preview,Descripción ambigua de un servicio de conectividad o soporte que requiere clasificación como servicio general al no especificarse el tipo exacto.
ifx internet premium servicio cll torre edificio elemento,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de conectividad a internet prestado por un proveedor, clasificado como servicios generales al no existir una categoría específica para telecomunicaciones."
ifx renta equipos servicio cll torre edificio elemento,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,"Se especifica la renta o alquiler de equipos (bienes muebles), lo cual corresponde a la categoría de arrendamiento de bienes muebles."
premium servicio !bucaramanga kra cabecera,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de carácter general (posiblemente telecomunicaciones o soporte) que no encaja en las categorías específicas definidas.
premium servicio !barranquilla calle,Servicios Generales,gemini-3.1-flash-lite-preview,"Concepto comercial que no permite identificar el tipo de servicio prestado, siendo clasificado por defecto como servicios generales."
premium servicio !hotel sector calle,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,"El concepto menciona explícitamente un hotel, por lo cual se clasifica en servicios de alojamiento."
premium servicio !bogota,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Servicio de alojamiento temporal o estadía corporativa ubicado en Bogotá.
premium servicio !valledupar calle mayales etapa,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Servicio de alojamiento o estadía temporal prestado en Valledupar.
premium servicio !hotel metro medellin kra sur barrio poblado,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Servicio explícito de alojamiento en hotel ubicado en Medellín.
premium servicio !yopal hotel hampton hilton,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Servicio de alojamiento temporal en la cadena hotelera Hampton by Hilton.
tarro bambu concesionario sencia,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien tangible, catalogado como insumo de uso general."
aerosol weize hawaiian ginger concesionario sencia,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumo tangible de uso general para la operación.
eucalipto api concesionario sencia,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de producto tangible (insumo) para uso general.
pure api concesionario sencia,Compras Generales,gemini-3.1-flash-lite-preview,Compra de producto tangible de uso general no clasificado en categorías específicas.
honorarios profesionales revisoria fiscal,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por servicios intelectuales independientes de revisoría fiscal prestados a la entidad.
bonificacion resultados año generados direccion fideicomiso proxi,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Remuneración por servicios de dirección en fideicomiso, clasificada como honorarios por gestión profesional."
honorarios prestacion servicios director fideicomiso proxi realizada ciudad cali periodo comprendido mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por servicios profesionales prestados por el director de fideicomiso.
servicio managed data center services alianza colombia,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicios de gestión y administración de centros de datos prestados por persona jurídica.
housing alianza colombia,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de alojamiento de servidores sin categoría específica más precisa.
